,precision,recall,f1-score,support
glioma,0.9518072289156626,0.9875,0.9693251533742331,80.0
meningioma,0.9047619047619048,0.9047619047619048,0.9047619047619048,63.0
no_tumor,0.9767441860465116,0.8571428571428571,0.9130434782608695,49.0
pituitary,0.9298245614035088,0.9814814814814815,0.954954954954955,54.0
accuracy,0.9390243902439024,0.9390243902439024,0.9390243902439024,0.9390243902439024
macro avg,0.9407844702818968,0.9327215608465609,0.9355213728379906,246.0
weighted avg,0.9399006900216325,0.9390243902439024,0.9384256515133691,246.0
